track_name,artist_name
The Thrill Is Gone,B.B. King
Party On Da Weekend,Kenne' Wayne
Headlock,Imogen Heap
Grey,EXES
She Is Of The Heavens,Dario Marianelli
Ballad,Stan Getz
As You Are,Rag'n'Bone Man
I Don't Wanna Stop,Ozzy Osbourne
Dry Clean Only,Mitch Hedberg
Leech Boy,Crywank
Lucky,311
YaYaYa,RY X
Death with Dignity,Sufjan Stevens
Marijuana (feat. Don Carlos),Slightly Stoopid
Incinerate,Sonic Youth
Samba Tranquille,Thievery Corporation
"Parsifal, WWV 111: Act I: Prelude",Richard Wagner
I'm With You - Single Edit,Vance Joy
Casual Sex,My Darkest Days
Fantasy,SEKAI NO OWARI
Basie Is Back in Town,Count Basie
UMI Says,Mos Def
Prodigal,Sidewalk Prophets
Desperate People,Hillsong UNITED
somethingfartoogoodtofeel,The Japanese House
"Bouge (B.O. ""Bouge"")",Generation B.O.
Son Mis Deseos,Cardenales Del Exito
GRRRLS,AViVA
Like Me,Casanova
Wicked,Future
"Nachtstück, D. 672",Ian Bostridge
Où est-elle ?,Daniel Lavoie
Endless Love,Michelle Simonal
Avec La Bouche 'Bye Bye Blues' - Remastered,Henri Salvador
Time To Get Tough,The Aggrolites
Thank You Jesus - Alternate Version/Live,Hillsong Worship
Put My Money on That,Curtis Grimes
The Distance (feat. Ty Dolla $ign),Mariah Carey
Blue Bayou,Linda Ronstadt
Forever On Your Side (with JOHNNYSWIM),NEEDTOBREATHE
I'm on Fire,Bruce Springsteen
Mattinata spring awaking,Ruggero Leoncavallo
Messa da Requiem: II. Dies irae,Giuseppe Verdi
"Beware, the Sirens",Getter
Dangerous (feat. Jeremih and PnB Rock),Meek Mill
Dile A Tu Marido,Pasabordo
He's A Mental Giant,Tech N9ne
Done,Ryan Stout
You Might Think He Loves You for Your Money but I Know What He Really Loves You for It's Your Brand New Leopard Skin Pillbox Hat,Death Grips
Come Together Now,Matt and Kim
Birth,Keith Jarrett
Bodhisattva,Steely Dan
"Unaccompanied Cello Suite No. 4 in E-Flat Major, BWV 1010: V. Bourrées I & II",Johann Sebastian Bach
Second Dream,Ryuichi Sakamoto
Nothing On Us,The Him
"La Favorita - Italian version - Act 4: ""Spirto gentil, de'sogni miei""",Gaetano Donizetti
Killmonger vs T'Challa,Ludwig Goransson
Graduate,Third Eye Blind
Never Meant,American Football
Children of the Korn,Korn
Lost In The World,Kanye West
"Piano Concerto No. 4 in G Major, K. 41: III. Molto allegro",Wolfgang Amadeus Mozart
Her - Wooli Remix,Excision
Hou la menteuse,Dorothée
Temptation,Destiny's Child
Born Free,The Bouncing Souls
Always,Saliva
Ella Se Contradice (feat. Plan B),Baby Rasta
Help Is On The Way,Rise Against
How Long Will They Mourn Me?,Thug Life
Never Let You Go (feat. Sofia Reyes),Slushii
On My Soul,Key Glock
Mare,Maldita Vecindad Y Los Hijos Del 5to. Patio
I Am Your Mind (Part 2),Roy Ayers
Heaven Came For Me,Chris Quilala
The Wave,R3HAB
猫のしっぽ犬のしっぽ,ko-ko-ya
No Days Off (feat. Monty),Fetty Wap
Nobody Else But You,Trey Songz
Sonata No. 6 in D Major: II. Andante assai,Gioachino Rossini
Rocket 69,Todd Rhodes
U Smile,Justin Bieber
Giselle: No. 5 - Allegro,Adolphe Adam
Walking Is Still Honest,Against Me!
Lose My Cool,Amber Mark
Overwhelming,Jon Bellion
B.O.O.T. (Live),Pepper
Bluebird,Beach House
HUMBLE.,Kendrick Lamar
Blow the Whistle,Too $hort
"Macbeth, Act IV: Patria oppressa! (Live)",Giuseppe Verdi
Spelling,Katt Williams
Fake Love,Carlitos Rossy
One Eye Open - Trentemøller Remix Hbt Edit,Trentemøller
SUMMER SALT (with Bari),Smino
Les Yper-Sound,Stereolab
I Can't Wait,The White Stripes
Dirty Work,Steely Dan
Deep Inside of You - 2008 Version,Third Eye Blind
Ketto,Bonobo
"Verdi: Macbeth, Act 1: ""Nel dì della vittoria ... Vieni t'affretta"" (Lady Macbeth, Chorus)",Giuseppe Verdi
Primadonna,MARINA
Tahoe,Audiodub
Old English,Young Thug
Don't Call Me (feat. Yuna),TOKiMONSTA
Ridin High,Jawga Boyz
¡ Ay ! este azul,Christina Pluhar
Higher Love,James Vincent McMorrow
Arms Open Wide - Live,North Point InsideOut
The Wind Blow East,Enzo Garcia
Just Let It Go,India.Arie
BiPolar (feat. Quavo),Gucci Mane
Home Again!,Menahan Street Band
Gucci Rock N Rolla (feat. Rivers Cuomo & KYLE) - Banx & Ranx Remix,Snakehips
Sunrise,Childish Gambino
End of Our Days,Archive
Dirty Laundry,Nickelback
Tempelhof,Yann Tiersen
Happy,Nao
Spiderbite,Beats Antique
Put Your Money On Me,The Struts
First Try,Johnnyswim
X (with 2 Chainz & Saudi),ScHoolboy Q
Simple & Sweet,Jon Bellion
Wake Up,Fetty Wap
Hurt so Good,Mipso
Louisiana Saturday Night,Mel McDaniel
Good Times,The Holdup
Nuisance,Dance Hall Crashers
Confidence,Sanctus Real
Hear Me Now (feat. DIAMANTE)[Acoustic],Bad Wolves
Young Volcanoes,Fall Out Boy
Drop That Kitty (feat. Charli XCX and Tinashe),Ty Dolla $ign
Should've Been Me,Naughty Boy
Congressional Correspondents Dinner,Lewis Black
"Piano Sonata No. 24 in A Major, Hob.XVI:26: I: Allegro moderato",Franz Joseph Haydn
Black Chicks - Live at Rascals Comedy Club (NJ) / 1990,Andrew Dice Clay
Tied Up,Hablot Brown
Ach Basiu,Chorus
Fire,Ohio Players
Vacation,Still Woozy
"Lyric Pieces Book IV, Op.47: No. 3 Melodie",Edvard Grieg
Tin Tin Deo,The Slackers
If I Could Turn Back Time,Cher
The One (feat. Jada),Alina Baraz
It's The End Of The World As We Know It (And I Feel Fine),The Suicide Machines
Beloved (When I Survey) - Live,Darlene Zschech
You Can Leave Your Hat On - Live,Randy Newman
Lifetime - Uncut,Maxwell
Torn - Bonus Track,James TW
Bicken Back Being Bool,YG
Steeples,Dispatch
病床パブリック,Sheena Ringo
Click Clack,LOUDPVCK
Outrageous Love,Jonathan David Helser
I Like You,Ben Rector
"Jesu Joy Of Man's Desiring, BWV 147",Johann Sebastian Bach
All Mine (feat. MadeinTYO),KYLE
Your Betrayal,Bullet For My Valentine
Put Your Money on Me,Arcade Fire
Make it Bang,Baauer
Ooh La La - 2015 Remastered Version,Faces
God Particle,Hans Zimmer
Downbad,Jay Gwuapo
Boom,Excision
Some Say,Sum 41
"Puccini: La bohème, Act 1: ""Sì. Mi chiamano Mimì"" (Mimì, Rodolfo, Schaunard, Colline, Marcello)",Giacomo Puccini
Taxi,J. Blackfoot
Party Of One (feat. Sam Smith),Brandi Carlile
La Femme Fetal,Digable Planets
Concerto for two violins BWV 1043 in D Minor: Concerto for two violins BWV 1043 in D Minor: I. Vivace,Johann Sebastian Bach
All You Had To Do Was Stay,Taylor Swift
something more,j ember
On The Floor,Jennifer Lopez
Real Chill,Rae Sremmurd
I'm Going Away,Elizabeth Cotten
I Love It (& Lil Pump),Kanye West
ATTENTION,Joji
Me Acuerdo,Ivy Queen
I Don't Mind,KONGOS
Thirty-Nine,Crumb
"Madama Butterfly, Act I: Act I: Vieni, amor mio! (Pinkerton)",Giacomo Puccini
クロニクル,Nightmare
MAD I GOT IT | MAD 1 GOT 1T,Denzel Curry
Big Chief,Dr. John
Sticky,Ravyn Lenae
Practice,Drake
"You Enjoy Myself - Live Version - Clifford Ball, 1994",Phish
Wasting All My Time,Hoodie Allen
I don’t let go,XXXTENTACION
Passenger Side,Smallpools
StarRingChild - Movie Version,Aimer
Howling Commando’s Montage,Alan Silvestri
I'm Making Believe,The Ink Spots
"Carmen, WD 31, Act I: Sur la place (Live)",Georges Bizet
Off Guard - We5 Remix,Alexander Lewis
Tension,Vök
"You're Never Fully Dressed Without A Smile - From ""Annie""",Juice Music
"Cheating, Dreaming Old People Who Don't Shut Up",Kyle Cease
Ugly,The Holdup
Fool's Gold,S. Carey
Outta Style,Aaron Watson
Could It Be,Jaheim
Build My Life - Live,Passion
Bedtime Story,Kana Nishino
Come Home - Beshken Remix,The Undercover Dream Lovers
A & E (Artists & Entertainers),Kimbo Children's Music
The Bells,The Originals
Madness Of Men,Trans-Siberian Orchestra
God & Guns,Lynyrd Skynyrd
Round and round (feat. Han Suji),HEIZE
Masacre Pa' Voltio,Lito y Polaco
Recktify,Rainbow Kitten Surprise
Must Have Done Something Right,Relient K
Mind Games,D.L. Hughley
"No Good, Mr Holden",Graveyard
Biking,Frank Ocean
No One's Easy to Love,Sharon Van Etten
When I Go Away,Levon Helm
Tú Tienes,Wisin & Yandel
Tu Lokito,Messiah
Feeling You,Harrison Storm
Back When I Could Fly,Trout Fishing in America
ZEZE (feat. Travis Scott & Offset),Kodak Black
Had Enough,Breaking Benjamin
"Rigoletto / Act 1: Giovanna, ho dei rimorsi",Giuseppe Verdi
So Sick,Ne-Yo
Preset Junkies,Virtual Riot
Flight to Compound,Alexandre Desplat
Saved by the Summer - Nebbra Remix,Goodluck
Suki To Iwareta Hi,EGOIST
Go To Sleep,Eminem
"Got Me Wrong - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains
Gold,Spandau Ballet
Início,Keys N Krates
PINT OF AKORN,Germ
Christmastide,The Brilliance
Weird Things Happen,Mark Mothersbaugh
Bodies - Remastered 2012,The Smashing Pumpkins
I Feel A Sin Comin' On,Pistol Annies
Everything Sucks - Live,Reel Big Fish
What Are You Looking At?,Christopher Titus
With Everything - Live,Hillsong Worship
Sonnengeflecht,Roedelius
Chaghaybou,Tinariwen
Evil Presence,Sophie Meiers
The Specialist In Dub,King Tubby
There She Goes,Leon Bridges
Silence Is the Way,Miles Davis
Blue Clouds,Children Songs Company
Panopticon,Cloud Control
China Grove,The Doobie Brothers
Take Two Placebos And Call Me Lame,NOFX
陽だまりロードナイト,Roselia
The Dragon Prince – Main Title,Frederik Wiedmann
Goodbye,Dustin O'Halloran
Un Beso,Luigi 21 Plus
I Love You,Jermaine Edwards
I Feel a Song Comin' On,Rosemary Clooney
Land Of Hope And Glory,Madness
Touched By An Angel,Charlie Wilson
All of Me (with Eddie Heywood & His Orchestra),Billie Holiday
Chillin,Wale
This Week,Lil Baby
Under The Bridges Of Paris,Dean Martin
Next Year - RAC Remix,Two Door Cinema Club
Anybody (feat. Nicki Minaj),Young Thug
スラバヤ通りの妹へ,Yumi Matsutoya
Blaze of Somethin',A Thousand Horses
Asking for a Friend,Devin Dawson
Freddy Crabs,Sticky Fingers
Savages,MARINA
Daughter (Remastered),Pearl Jam
Habits of My Heart - EP Version,Jaymes Young
Vetements Socks,Sheck Wes
Drugs (feat. Wiz Khalifa),Ty Dolla $ign
Keep On Running,The Living End
If I Get Drunk Tonight (Remix),Bigg Robb
Dinosaur,"Hank Williams, Jr."
Dust Breeding (1.316)+,Stars Of The Lid
Walk the Dog (Her Nose Knows),SteveSongs
Let Loose,The Expendables
Just to See You Smile,Why Don't We
My Generation,Limp Bizkit
Ghost Riders,Scatman Crothers
Cry Hell,Black Pistol Fire
Jumped Out the Whip,Tedashii
Appalachian Spring: VII. Doppio movimento,Aaron Copland
Make A Bag (feat. Moneybagg Yo),Megan Thee Stallion
Strong God,Vertical Worship
Tried and Tempted - Live,The Wood Brothers
The God Of War,Rupert Gregson-Williams
The People's House,John Williams
Hobby,Tom Segura
Getting Old Sucks,Bill Engvall
Kiss Me Like A Stranger,Thomas Rhett
Want to Want Me,Jason Derulo
Digital Dash,Drake
"Aida: Or, di Vulcano al tempio muovi",Giuseppe Verdi
Jesus,Chris Tomlin
In the Year 2525 (Exordium & Terminus),Zager & Evans
Show Me Love - Radio Version,Robyn
Better,Declan J Donovan
It's Only Love - 2008 Remastered Version,Simply Red
Michael & Anne,King Apparatus
Entre Luca Y Juan Mejía,Vicente Garcia
Yahweh,The Brilliance
Who You Foolin,Gunna
Sit Next to Me - Stereotypes Remix,Foster The People
Pull Out,Death From Above 1979
The Dance,Martin Phipps
Bixby Canyon Bridge,Death Cab for Cutie
Shoot Me Straight,Brothers Osborne
What Am I Gonna Do With You,Barry White
Over my head,Judah & the Lion
I'm an Inchworm (Vocal),Kimbo Children's Music
Getting Back on the Horse,Brian Posehn
Night Shift,Lucy Dacus
heavy metal (feat. Rahzel),Bring Me The Horizon
Casimir Pulaski Day,Sufjan Stevens
I Didn't Know About You,Thelonious Monk
Castaway,Yuna
Dakini (Aram Ram's Monsoon Remix),Prem Joshua
Suge,DaBaby
Impossible,James Arthur
Callejero,Don Omar
"Pomp and Circumstance, Op. 39: No. 1 in D Major",Edward Elgar
Pulling Leaves off Trees,Wallows
キロン,Vickeblanka
Lo Eres Todo (En Vivo),Guaco
Summertime Won't Last Long,Michael Franti & Spearhead
2012,Chris Brown
Freesol,Seven Lions
Salting Of The Slug,Riders In The Sky
"Nocturne No. 20 in C-Sharp Minor, Op. posth (Arranged for Violin & Orchestra)",Frédéric Chopin
"La Favorita, Act IV: Spirto gentil",Gaetano Donizetti
Belle (Reprise),Emmylou Homs
Foundation Sound,Dirt Monkey
Running,Emily King
Dinero En Mano,Myke Towers
Trouble,Ray LaMontagne
Do With It,Betty Who
Only Sequences Change,Blockhead
Break the Rules,Charli XCX
Colours,Grouplove
Wings Of A Dove,Bob Marley & The Wailers
"Die Zauberflöte, K.620 / Act 2: ""Pa-Pa-Pa-Pa-Pa-Pa-Papagena!""",Wolfgang Amadeus Mozart
Jealous,Beyoncé
"Andrea Chénier / Act 1: ""Al mio dire perdono""",Umberto Giordano
Norteño,Polo Polo
A Ti,Los 4
Die 4 You,Perfume Genius
Spending Addiction,Gunna
Sour Girl,Stone Temple Pilots
Deceived,Lil Xan
50 Ways To Leave Your Lover,Sophie Milman
Blow Roland Blow,Roland Alphonso
Sara Smile,Daryl Hall & John Oates
A Good Night,John Legend
I Think We're Alone Now,Tiffany
Born Again,Third Day
Ten Thousand Fists,Disturbed
Friend or Enemy,Lawrence
Two-Headed Boy,Neutral Milk Hotel
Demons,Joji
Aibohphobia,Shakey Graves
"Il Trovatore / Act 3: ""Di qual tetra luce...Ah sì ben mio...Di quella pira""",Giuseppe Verdi
Focus on You,Vedo
U Are,Paul Oakenfold
We Wish We Were You,Howard Ashman
Aetherial Slumber,Nobuo Uematsu
He Said,Group 1 Crew
Don’t Play This Song,Kid Cudi
It's The Most Wonderful Time Of The Year,The Hit Crew Kids
Isle of Gays,Chris Maddock
Brandy (I Really Miss You),The O'Jays
Rigoletto / Act 1: Figlia!....Mio padre!,Giuseppe Verdi
Bouncin (feat. Offset),Kiana Ledé
Badlands,Greg Edmonson
Pontchartrain,Anders Osborne
Juguetona - Allstar Remix,Yomo
Loud Magic,Foreign Air
A Dangerous Path,The Chamber Orchestra Of London
"Aida, Act 1: ""Se quel guerrier io fossi!"" - ""Celeste Aida""",Giuseppe Verdi
Jazzman,Carole King
Hand It Over,MGMT
Just a Song Before I Go,"Crosby, Stills & Nash"
Rebotando,Ilegales
Starlight (Goldroom Remix),Jai Wolf
Robame,Jeloz
Millie the Moth (Instrumental),Kimbo Children's Music
Yes And Amen - Live,Jesus Culture
Don't Let Me Down,Harry J Allstars
Ego,Beyoncé
Pizza & Video Games,Bonus Points
Heatwave,Amber Mark
Instant Replay,Alonzo Bodden
O' Lord! I Have My Doubts,$uicideBoy$
No Me Acuerdo,Thalía
Honest (feat. James Melo),The Holdup
Thrive (The nightSHIFT Remix),Casting Crowns
Free Dub,Slightly Stoopid
Help Me Somebody,Brian Eno
Knock on Wood,Otis Redding
Hello Again (Scene One: The Whore and the Soldier),Donna Murphy
Gassed Up!,XXXTENTACION
Exile Vilify (From the Game Portal 2),The National
Près de moi - Groove Mix,Lorie
What Kind Of Man Would I Be,Mint Condition
Dragula,Rob Zombie
Change,The Revivalists
Yavida,Cultura Profética
Eating Alone,Harry Gregson-Williams
Airy Fall,Nayutalien
Sweet Time,Raveena
Sunday Neurosis,Rodrigo y Gabriela
Superfast Jellyfish (feat. Gruff Rhys and De La Soul),Gorillaz
Celebrate Jesus,Don Moen
Darte Remix,Alex Rose
Love Created I [Marcus Teaching],Tarrus Riley
Dhanasri,Chorus
Disco Inferno,50 Cent
Broken Things,Matthew West
King Of My Heart,John Mark McMillan
Hurry,Teyana Taylor
Never Too Late,Three Days Grace
La petite fille de Sarajevo,Bernard Minet
Sunshine Girl - Demo,Jakob Ogawa
RAISE MY SWORD,GALNERYUS
Trambo - Amended Version,Casa De Leones
Blues,George Bruns
It's A Sin - 2001 Remastered Version,Pet Shop Boys
Country Boy (feat. George Jones & Charlie Daniels),Aaron Lewis
"Hello, There",John Cale
トリノコシティ -MIKU EXPO 2014 in INDONESIA Live-,40mP
Bring It on Home to Me,Otis Redding
Sundown Syndrome,Tame Impala
Ay Amor - Salsa,Hector & Tito
We Did It!,Dora The Explorer
Barcelona,Katherine Jenkins
Selfish,Slum Village
Pa' Frontiarle a Cualquiera,Yaga & Mackie
Let It Bang ft MACTurnup,12th Planet
Final Countdown,Skao
"Coffee, God, And Cigarettes",Mischief Brew
Darkness,Jordan Comolli
De Que Se Puede Se Puede,Los Inquietos Del Norte
England's Dreaming,Boston Manor
Mess Her Up - Single Edit,Amy Shark
Virus,Boombox Cartel
"Concerto No. 3 in E-Flat Major, K.447: I. Allegro",Wolfgang Amadeus Mozart
"Symphony No. 5 in B-Flat Major, K. 22: II. Andante",Wolfgang Amadeus Mozart
Fuck the Industry,Solange
Theresa,Gabriel Yared
Before You Hit The Ground,Jonny Lang
Alien Technology,Shlump
Fade Out,VHS Collection
Crazy for This Girl,Evan And Jaron
We Won't Be Quiet,David Crowder Band
Trippin Baby,Fetty Wap
Limerent Death,The Dillinger Escape Plan
Goddamn Lonely Love,Drive-By Truckers
Killer,Kali Uchis
The Heart From Your Hate,Trivium
Your Love (All That I'm Missing),JD McPherson
"Goodbye, Farewell",Jim Cummings
Sithniyan,Chorus
Superstar - Confessions Special Edition Version,Usher
"Sonata No. 1 in G Minor, BWV 1001 (arr. N. Goluses): I. Adagio",Nicholas Goluses
Desenho De Deus,Armandinho
Red Bull,Chris Wandell
Do You Realize??,The Flaming Lips
"Das Rheingold, WWV 86A / Erste Szene: ""Der Welt Erbe gewänn' ich zu eigen durch dich?""",Richard Wagner
Vertigo (feat. Jordin Sparks),Jason Derulo
Shuffle,Bombay Bicycle Club
The Suffering,Coheed and Cambria
Hangout at the Gallows,Father John Misty
Me Estas Tentando,Wisin & Yandel
Westcoast Collective,Dominic Fike
Bad Tone #33,DECO*27
Follow - Zomboy Remix,Bro Safari
Concert Pitch,Empire of the Sun
Old McDonald Had a Farm,Kimbo Children's Music
25 in Barcelona,JP Saxe
Cry to Me,Solomon Burke
Mr. Mom,Lonestar
Pursuit Of Happiness (Nightmare),Kid Cudi
(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson
Owl Singalong,Raffi
Lemon to a Knife Fight,The Wombats
Pulling Mussels (From The Shell),Squeeze
Coming Together - Remastered 2018,Alan Menken
Chronicles of a Fallen Love,The Bloody Beetroots
Prediction,Steel Pulse
Ego,[spunge]
Penalty,Hucci
Sword Cane,Lord Echo
New Birth in New England,Phosphorescent
I Will,Dean Martin
We Intertwined,The Hush Sound
The Rite of Spring: Part Two: The Sacrifice: Mystical Circles of the Young Girls,Igor Stravinsky
All of a Sudden,Josh Abbott Band
Te Amo,Piso 21
I Like You,The Human Experience
Darkiel Omar,Darkiel
Ste Ska,La Matatena
People Get Ready,The Impressions
Sugar Daddy,Tyrone Davis
Noel In Midnight,Pascal Rogé
Girl,Destiny's Child
Main Title,Maurice Jarre
Caged Bird,J. Cole
The Cross Has the Final Word,Newsboys
Sid the Science Kid Theme,Little Apple Band
NEVER,JID
Land Of The Free,The Killers
The Space Program,A Tribe Called Quest
Magnetic,livetune
Please Keep Loving Me,James TW
Sticks and Stones,FRND
Safe and Sound,Christian Leave
Movin' On,Mike Love
The Archery Affair,George Bruns
Ruby,Mat Kerekes
Salve Regina,Giacomo Puccini
Movin' Too Fast,Migos
"Suonate a tre doi violini e violoncello col basso per l’organo, Opera prima, Sonata No. 1 in D Minor: IV. Allegro",Tomaso Albinoni
Get Ready,Mandy Gonzalez
The Love Me or Die,C.W. Stoneking
Cantamos A Él,Jesus Culture
Green Lights,NF
Hair Of The Dog,Nazareth
Shut It Down,Drake
Breaking Down,Mini Thin
Tequila Sunrise - Eagles 2013 Remaster,Eagles
After Glow,GARNiDELiA
Always,Anna Of The North
White Hollywood,Paul Mooney
Express Yourself,Labrinth
Life In Her Yet,Rag'n'Bone Man
Animauxville - Live,Chantal Goya
Take 5,Gypsy Jazz Caravan
The Art Book,Randy Newman
Napule è,Luciano Pavarotti
Faraway,khai dreams
The Grand Massacre,Ennio Morricone
Lights Please,J. Cole
Bob,NOFX
...And the Rain,John Maus
Even If It Breaks Your Heart,Eli Young Band
Norway,Beach House
Happy House,Hi-5
Where You Are (Live),Leeland
Everybody Dance - 2018 Remaster,CHIC
Back To The Future (feat. ProbCause),Gramatik
Sometimes I Don't Mind,The Suicide Machines
"Piano Sonata No. 15 in F Major, K. 533: I. Allegro - Remastered",Wolfgang Amadeus Mozart
Smile,Leven Kali
Pastelero,Guaco
Almost Famous,Eminem
You Beat Me To The Punch,Mary Wells
Switch,6LACK
Tell Him,Ms. Lauryn Hill
Somebody's Brother; Somebody's Son,Cock Sparrer
"Symphony in F Major, J-C 36: III. Allegro assai",Giovanni Battista Sammartini
Green Gucci Suit,Rick Ross
